state,county,population_(2020),building_value_($),agriculture_value_($),area_(sq_mi),national_risk_index_value_composite,national_risk_index_score_composite,national_risk_index_rating_composite,national_risk_index_state_percentile_composite,expected_annual_loss_score_composite,expected_annual_loss_rating_composite,expected_annual_loss_state_percentile_composite,expected_annual_loss_total_composite,expected_annual_loss_building_value_composite,expected_annual_loss_population_composite,expected_annual_loss_population_equivalence_composite,expected_annual_loss_agriculture_value_composite,expected_annual_loss_rate_building_composite,wildfire_number_of_events,wildfire_annualized_frequency,wildfire_exposure_impacted_area_(sq_mi),wildfire_exposure_building_value,wildfire_exposure_population,wildfire_exposure_population_equivalence,wildfire_exposure_agriculture_value,wildfire_exposure_total,wildfire_historic_loss_ratio_buildings,wildfire_historic_loss_ratio_population,wildfire_historic_loss_ratio_agriculture,wildfire_historic_loss_ratio_total_rating,wildfire_expected_annual_loss_building_value,wildfire_expected_annual_loss_population,wildfire_expected_annual_loss_population_equivalence,wildfire_expected_annual_loss_agriculture_value,wildfire_expected_annual_loss_total,wildfire_expected_annual_loss_score,wildfire_expected_annual_loss_rating,wildfire_expected_annual_loss_rate_building,wildfire_expected_annual_loss_rate_population,wildfire_expected_annual_loss_rate_agriculture,wildfire_expected_annual_loss_rate_national_percentile,wildfire_hazard_type_risk_index_value,wildfire_hazard_type_risk_index_score,wildfire_hazard_type_risk_index_rating,total_workers,maximum_temperature,mean_temperature
Colorado,La Plata,55533,16531577408,27926585,1716.740164,10669401.59,66.33789373,Relatively Low,81.25,67.31662024,Relatively Low,82.8125,9985825.941,8883511.444,0.094253476,1093340.323,8974.174516,5.37e-4,NA,0.001733741,75.20214013,8375278514,26796.97222,311000000000,13427777.18,319000000000,0.4,3.18e-6,9.05e-5,Relatively Moderate,7070245.496,1.95e-4,2267.412498,1.73986434,7072514.649,97.1364938,Relatively High,4.28e-4,3.52e-9,6.23e-8,94.59115495,7514862.841,97.07286032,Relatively High,7,80.6,76.7
Colorado,Larimer,358792,64104917711,172863562,2660.579478,72217812.96,93.54120267,Relatively Moderate,93.75,94.42896936,Relatively Moderate,96.875,75911600.5,57532338.16,1.567468311,18182632.41,196629.9323,8.97e-4,NA,0.003263953,31.71143126,6751924902,32876.73143,381000000000,27694086.76,388000000000,0.4,6.77e-5,0.013579329,Relatively Low,8243693.754,0.006071242,70426.40678,818.0629557,8314938.224,97.55011136,Relatively High,1.29e-4,1.69e-8,4.73e-6,83.51893096,6594350.642,96.6910595,Relatively Moderate,45,76.4,75.2
Colorado,Las Animas,14491,2718173391,29648336,4823.825221,2834168.91,21.82628062,Very Low,45.3125,18.91055401,Very Low,46.875,2176678.298,1545801.355,0.047880433,555413.0279,75463.9159,5.69e-4,NA,0.002582072,15.14476171,870206016.4,4139.034218,48012796934,17823617.56,48900826568,0.4,1.57e-5,0.003260597,Relatively Moderate,1115355.304,1.79e-4,2070.75166,315.5064622,1117741.562,87.71874006,Relatively Moderate,4.1e-4,1.23e-8,1.06e-5,94.20935412,1394910.58,88.10054088,Relatively Moderate,1,87.4,84.7
Colorado,Lincoln,5675,1410264128,77804340,2612.586214,1759390.539,11.39039135,Very Low,29.6875,10.98731043,Very Low,28.125,1440614.748,912435.9728,0.031268712,362717.0635,165461.7115,6.47e-4,NA,1.75e-4,77.526602,184647676.2,517.6947535,6005259141,8604258.063,6198511075,0.4,1.26e-5,0.036468584,Relatively High,25913.758,2.29e-6,26.61540806,43.27733048,25983.65074,43.71619472,Very Low,1.84e-5,4.04e-10,5.56e-7,63.06076997,31473.03057,45.65701559,Very Low,3,74.8,75
Colorado,Logan,21526,4761879574,708744065,1863.541496,10479120.17,65.66974228,Relatively Low,79.6875,60.50758279,Relatively Low,78.125,7716520.207,3449352.913,0.32384508,3756602.928,510564.3654,7.24e-4,NA,1.44e-4,45.67026137,357192464.1,1486.791985,17246787023,66529091.31,17670508578,0.4,9.22e-4,0.036468584,Relatively Low,15052.27483,1.4e-4,1619.916015,789.9171743,17462.10802,37.13013045,Very Low,3.16e-6,6.49e-9,1.11e-6,49.69774101,17468.23659,35.88927776,Very Low,22,78.4,81.3
Colorado,Mesa,155647,28043980366,108039242,3374.802515,5823785.159,47.34330258,Very Low,71.875,47.38471062,Very Low,71.875,5060275.879,1990828.399,0.260448025,3021197.087,48250.39244,7.1e-5,NA,0.00127399,32.8632151,2651028066,12415.91466,144000000000,30348274.58,147000000000,0.4,1.11e-6,5.9e-6,Relatively Low,1149363.845,1.32e-5,153.3161189,0.319263883,1149517.48,87.90964047,Relatively Moderate,4.1e-5,8.49e-11,2.96e-9,72.03308941,1068503.382,86.31880369,Relatively Moderate,608,84.2,80.4
Colorado,Moffat,13270,4182754729,38005853,4798.85142,2144818.893,15.24021635,Very Low,35.9375,13.80377592,Very Low,35.9375,1743366.096,1220038.764,0.043708834,507022.4704,16304.86115,2.92e-4,NA,0.001776986,30.37644729,1405910112,2517.621561,29204410109,15549125.88,30625869347,0.4,1.29e-5,3.38e-6,Relatively High,1075382.709,5.28e-5,612.576338,0.090234173,1075995.375,87.33693923,Relatively Moderate,2.57e-4,3.98e-9,2.37e-9,90.614063,1267343.993,87.27330576,Relatively Moderate,117,82.6,80.3
Colorado,Montezuma,25806,5935803280,53241372,2060.447303,2583395.067,19.34457525,Very Low,43.75,20.48901269,Very Low,48.4375,2292324.666,1461295.761,0.068571917,795434.2383,35594.66742,2.46e-4,NA,0.001329197,47.8417534,2175775688,8544.60666,99117437261,14166961.43,101000000000,0.4,3.18e-6,9.05e-5,Relatively Moderate,1295413.757,3.83e-5,444.3484697,1.710421546,1295859.815,88.95959275,Relatively Moderate,2.18e-4,1.48e-9,3.21e-8,89.1823099,1474771.578,88.60960865,Relatively Moderate,6,85,82.2
Colorado,Montrose,42636,8760733616,93163069,2265.489258,3194793.679,25.93063952,Very Low,53.125,25.59579078,Very Low,51.5625,2704908.869,536264.8263,0.176655655,2049205.597,119438.4458,6.12e-5,NA,6.53e-4,27.26434319,1090326814,4645.168425,53883953735,17558714.46,54991839263,0.4,4.83e-6,1.1e-4,Relatively Low,262907.9605,1.12e-5,129.4367639,1.571768622,263038.9691,75.21476297,Relatively Low,3e-5,2.6200000000000003e-10,1.69e-8,68.34234808,274400.1086,73.94209354,Relatively Low,233,84.5,81
Colorado,Morgan,29096,6554146331,641811245,1306.930789,13372381,72.35125676,Relatively Low,84.375,66.20241411,Relatively Low,79.6875,9476146.177,5606555.732,0.275925436,3200735.062,668855.383,8.55e-4,NA,1.71e-4,29.63285731,564311538.5,2063.917226,23941439819,64875047.95,24570626405,0.4,6.77e-5,0.036468584,Very Low,11055.88884,6.74e-6,78.19237327,772.9742728,11907.05549,30.89405027,Very Low,1.69e-6,2.32e-10,1.2e-6,38.7846007,14274.22284,32.51670379,Very Low,16,77.9,77.3
Colorado,Otero,18678,3385626292,139408191,1282.521574,2382916.755,17.27648743,Very Low,40.625,13.49427422,Very Low,32.8125,1712157.322,456153.1068,0.089832568,1042057.794,213946.4211,1.35e-4,NA,6.54e-4,12.3199213,334854700.9,1628.836684,18894505533,38129962.89,19267490197,0.4,1.26e-5,0.003260597,Relatively Moderate,116158.9497,1.58e-5,183.8272887,81.43621282,116424.2132,66.36971047,Relatively Low,3.43e-5,8.48e-10,5.84e-7,69.86955138,163623.958,68.6286987,Relatively Low,121,90.8,89.2
Colorado,Ouray,4859,1492164743,4821680,547.6843769,954988.6678,4.77251034,Very Low,12.5,7.428040854,Very Low,21.875,1097692.795,442107.9562,0.055521971,644054.8602,11529.97891,2.96e-4,NA,9.62e-4,5.28084514,604084074.1,2097.210639,24327643417,997634.8952,24932725126,0.4,5.18e-6,1.61e-4,Relatively Moderate,236238.0173,1.1e-5,127.4666969,0.141068053,236365.625,74.03754375,Relatively Low,1.58e-4,2.26e-9,2.93e-8,86.06426981,192633.8361,70.44225262,Relatively Low,6,78.1,72.5
Colorado,Phillips,4523,2348169517,199780855,694.9904458,3374214.168,27.80782692,Very Low,56.25,26.77189725,Very Low,54.6875,2789579.423,1392326.526,0.046461663,538955.2941,858297.6027,5.93e-4,NA,1.6e-5,54.64793605,267190752.5,275.3439209,3193989482,20638222.08,3481818457,0.4,9.22e-4,0.036468584,Very High,1847.997226,3.13e-6,36.34687729,15.68266798,1900.026771,5.440661788,Very Low,7.87e-7,6.93e-10,7.85e-8,14.4766147,2329.729425,5.536111995,Very Low,8,86,82.7
Colorado,Pitkin,17292,6757242524,3339926,983.0252176,5564842.094,45.91154948,Very Low,70.3125,49.45837202,Very Low,73.4375,5311715.763,2181676.342,0.26928153,3123665.745,6373.675644,3.23e-4,NA,4.31e-4,3.478544218,1064646313,2541.769477,29484525929,818222.0629,30549990464,0.4,5.18e-6,3.16e-5,Relatively Moderate,136275.3962,4.31e-6,50.02474505,0.013672152,136325.4346,68.43779828,Relatively Low,2.02e-5,2.49e-10,4.09e-9,63.88800509,140025.2246,66.8469615,Relatively Low,5,72.2,68.3
Colorado,Prowers,11979,2332563241,355587246,1660.922119,3844071.676,32.23035317,Very Low,64.0625,21.51036831,Very Low,50,2371619.382,1296803.031,0.058884573,683061.045,391755.3063,5.56e-4,NA,0.001087028,79.60225718,246654099.3,1085.152035,12587763605,59701569.2,12894119273,0.4,2.18e-4,0.003260597,Relatively Low,105156.9503,2.47e-4,2865.155864,296.792425,108318.8986,65.19249125,Relatively Low,4.51e-5,2.06e-8,8.35e-7,73.08304168,185286.798,70.02863506,Relatively Low,11,91.7,89.8
Colorado,Pueblo,168034,24996485111,59694760,2421.971793,19867372.69,79.79637289,Relatively Low,85.9375,78.14917982,Relatively Low,85.9375,16422305.06,13368005.87,0.233574127,2709459.877,344839.3172,5.35e-4,NA,0.001010736,18.98197801,3379317868,20064.57263,233000000000,18590398.16,236000000000,0.4,1.26e-5,0.013579329,Relatively Low,1291364.882,2.25e-4,2615.465379,296.1133633,1294276.46,88.89595927,Relatively Moderate,5.17e-5,1.34e-9,4.96e-6,74.61024499,1257066.075,87.24148902,Relatively Moderate,256,89.7,86.7
Colorado,Rio Blanco,6520,2390961512,21502317,3255.385819,2264642.58,16.29016863,Very Low,37.5,13.77282575,Very Low,34.375,1742889.803,1342333.647,0.033600396,389764.5915,10791.56402,5.61e-4,NA,0.002997566,17.49835707,1019519373,1673.961917,19417958242,6196393.466,20443674008,0.4,1.29e-5,3.38e-6,Relatively High,1204713.757,5.47e-5,634.3161194,0.062514287,1205348.135,88.19599109,Relatively Moderate,5.04e-4,8.39e-9,2.91e-9,95.70474069,1605504.074,89.40502704,Relatively Moderate,59,81,78.7
Colorado,Rio Grande,11498,4081830835,113489098,921.546747,3146749.104,25.23067133,Very Low,50,18.26060043,Very Low,40.625,2130847.95,1373707.771,0.050130854,581517.904,175622.2755,3.37e-4,NA,1e-4,27.63206836,1060484367,2559.527932,29690524009,17628138.29,30768636515,0.4,2.57e-6,1.61e-4,Relatively High,59171.63375,9.01e-7,10.45109186,0.204043628,59182.28888,57.07922367,Very Low,1.45e-5,7.84e-11,1.8e-9,60.70633153,69960.34533,58.12917595,Very Low,14,76.4,71.7
