"","Exposure","Colorado","Utah","Montana","North Dakota","South Dakota","Wyoming"
"1","Total Wildfire",-0.018,0.386,0.533,-0.051,NA,NA
"2","Total Drought",-0.018,0.124,0.125,0.355,NA,NA
"3","Total Heat Wave",-0.018,0.677,0.243,-0.02,NA,NA
